season,team1,team2,winner
2020/21,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals
2020/21,Delhi Capitals,Kings XI Punjab,Kings XI Punjab
2020/21,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore
2020/21,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad
2020/21,Chennai Super Kings,Mumbai Indians,Mumbai Indians
2020/21,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders
2020/21,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab
2020/21,Mumbai Indians,Rajasthan Royals,Rajasthan Royals
2020/21,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
2020/21,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab
2020/21,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad
2020/21,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
2020/21,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
2020/21,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals
2020/21,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad
2020/21,Delhi Capitals,Mumbai Indians,Mumbai Indians
2020/21,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings
2020/21,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
2020/21,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals
2020/21,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad
2020/21,Mumbai Indians,Delhi Capitals,Mumbai Indians
2020/21,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad
2020/21,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals
2021,Delhi Capitals,Mumbai Indians,Mumbai Indians
2021,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore
2021,Chennai Super Kings,Delhi Capitals,Delhi Capitals
2021,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
2021,Punjab Kings,Rajasthan Royals,Punjab Kings
2021,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
2021,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore
2021,Delhi Capitals,Rajasthan Royals,Rajasthan Royals
2021,Punjab Kings,Chennai Super Kings,Chennai Super Kings
2021,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians
2021,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
2021,Punjab Kings,Delhi Capitals,Delhi Capitals
2021,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
2021,Mumbai Indians,Delhi Capitals,Delhi Capitals
2021,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
2021,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
2021,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore
2021,Mumbai Indians,Punjab Kings,Punjab Kings
2021,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals
2021,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings
2021,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals
2021,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders
2021,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore
2021,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings
2021,Rajasthan Royals,Mumbai Indians,Mumbai Indians
2021,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals
2021,Punjab Kings,Royal Challengers Bangalore,Punjab Kings
2021,Chennai Super Kings,Mumbai Indians,Mumbai Indians
2021,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals
2021,Punjab Kings,Delhi Capitals,Delhi Capitals
2021,Chennai Super Kings,Mumbai Indians,Chennai Super Kings
2021,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
2021,Rajasthan Royals,Punjab Kings,Rajasthan Royals
2021,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals
2021,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders
2021,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
2021,Delhi Capitals,Rajasthan Royals,Delhi Capitals
2021,Punjab Kings,Sunrisers Hyderabad,Punjab Kings
2021,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
2021,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore
2021,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad
2021,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders
2021,Punjab Kings,Mumbai Indians,Mumbai Indians
2021,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore
2021,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings
2021,Kolkata Knight Riders,Punjab Kings,Punjab Kings
2021,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals
2021,Mumbai Indians,Delhi Capitals,Delhi Capitals
2021,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore
2021,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
2021,Chennai Super Kings,Delhi Capitals,Delhi Capitals
2021,Rajasthan Royals,Mumbai Indians,Mumbai Indians
2021,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad
2021,Chennai Super Kings,Punjab Kings,Punjab Kings
2021,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
2021,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians
2021,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore
2021,Delhi Capitals,Chennai Super Kings,Chennai Super Kings
2021,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
2021,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders
2022,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
2022,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders
2022,Mumbai Indians,Delhi Capitals,Delhi Capitals
2022,Royal Challengers Bangalore,Punjab Kings,Punjab Kings
2022,Lucknow Super Giants,Gujarat Titans,Gujarat Titans
2022,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals
2022,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore
2022,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants
2022,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders
2022,Rajasthan Royals,Mumbai Indians,Rajasthan Royals
2022,Gujarat Titans,Delhi Capitals,Gujarat Titans
2022,Punjab Kings,Chennai Super Kings,Punjab Kings
2022,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants
2022,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore
2022,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders
2022,Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants
2022,Punjab Kings,Gujarat Titans,Gujarat Titans
2022,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
2022,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore
2022,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals
2022,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals
2022,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad
2022,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings
2022,Punjab Kings,Mumbai Indians,Punjab Kings
2022,Gujarat Titans,Rajasthan Royals,Gujarat Titans
2022,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad
2022,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants
2022,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore
2022,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
2022,Chennai Super Kings,Gujarat Titans,Gujarat Titans
2022,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
2022,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore
2022,Punjab Kings,Delhi Capitals,Delhi Capitals
2022,Mumbai Indians,Chennai Super Kings,Chennai Super Kings
2022,Rajasthan Royals,Delhi Capitals,Rajasthan Royals
2022,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans
2022,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad
2022,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants
2022,Punjab Kings,Chennai Super Kings,Punjab Kings
2022,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals
2022,Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans
2022,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals
2022,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants
2022,Royal Challengers Bangalore,Gujarat Titans,Gujarat Titans
2022,Rajasthan Royals,Mumbai Indians,Mumbai Indians
2022,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants
2022,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings
2022,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders
2022,Gujarat Titans,Punjab Kings,Punjab Kings
2022,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore
2022,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals
2022,Mumbai Indians,Gujarat Titans,Mumbai Indians
2022,Punjab Kings,Rajasthan Royals,Rajasthan Royals
2022,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants
2022,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore
2022,Chennai Super Kings,Delhi Capitals,Chennai Super Kings
2022,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders
2022,Gujarat Titans,Lucknow Super Giants,Gujarat Titans
2022,Rajasthan Royals,Delhi Capitals,Delhi Capitals
2022,Chennai Super Kings,Mumbai Indians,Mumbai Indians
2022,Punjab Kings,Royal Challengers Bangalore,Punjab Kings
2022,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
2022,Chennai Super Kings,Gujarat Titans,Gujarat Titans
2022,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals
2022,Delhi Capitals,Punjab Kings,Delhi Capitals
2022,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad
2022,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants
2022,Gujarat Titans,Royal Challengers Bangalore,Royal Challengers Bangalore
2022,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals
2022,Delhi Capitals,Mumbai Indians,Mumbai Indians
2022,Sunrisers Hyderabad,Punjab Kings,Punjab Kings
2022,Rajasthan Royals,Gujarat Titans,Gujarat Titans
2022,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore
2022,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals
2023,Rajasthan Royals,Gujarat Titans,Gujarat Titans
2023,Chennai Super Kings,Gujarat Titans,Gujarat Titans
2023,Punjab Kings,Kolkata Knight Riders,Punjab Kings
2023,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants
2023,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals
2023,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore
2023,Chennai Super Kings,Lucknow Super Giants,Chennai Super Kings
2023,Delhi Capitals,Gujarat Titans,Gujarat Titans
2023,Punjab Kings,Rajasthan Royals,Punjab Kings
2023,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
2023,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants
2023,Rajasthan Royals,Delhi Capitals,Rajasthan Royals
2023,Mumbai Indians,Chennai Super Kings,Chennai Super Kings
2023,Gujarat Titans,Kolkata Knight Riders,Kolkata Knight Riders
2023,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
2023,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants
2023,Delhi Capitals,Mumbai Indians,Mumbai Indians
2023,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
2023,Punjab Kings,Gujarat Titans,Gujarat Titans
2023,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad
2023,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore
2023,Lucknow Super Giants,Punjab Kings,Punjab Kings
2023,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
2023,Gujarat Titans,Rajasthan Royals,Rajasthan Royals
2023,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings
2023,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians
2023,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants
2023,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore
2023,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals
2023,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings
2023,Gujarat Titans,Lucknow Super Giants,Gujarat Titans
2023,Punjab Kings,Mumbai Indians,Punjab Kings
2023,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore
2023,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
2023,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals
2023,Gujarat Titans,Mumbai Indians,Gujarat Titans
2023,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
2023,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
2023,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants
2023,Kolkata Knight Riders,Gujarat Titans,Gujarat Titans
2023,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad
2023,Chennai Super Kings,Punjab Kings,Punjab Kings
2023,Rajasthan Royals,Mumbai Indians,Mumbai Indians
2023,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore
2023,Delhi Capitals,Gujarat Titans,Delhi Capitals
2023,Lucknow Super Giants,Chennai Super Kings,NA
2023,Punjab Kings,Mumbai Indians,Mumbai Indians
2023,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
2023,Rajasthan Royals,Gujarat Titans,Gujarat Titans
2023,Mumbai Indians,Chennai Super Kings,Chennai Super Kings
2023,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals
2023,Gujarat Titans,Lucknow Super Giants,Gujarat Titans
2023,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad
2023,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders
2023,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
2023,Chennai Super Kings,Delhi Capitals,Chennai Super Kings
2023,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals
2023,Mumbai Indians,Gujarat Titans,Mumbai Indians
2023,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants
2023,Punjab Kings,Delhi Capitals,Punjab Kings
2023,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore
2023,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders
2023,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans
2023,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants
2023,Delhi Capitals,Punjab Kings,Delhi Capitals
2023,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore
2023,Punjab Kings,Rajasthan Royals,Rajasthan Royals
2023,Chennai Super Kings,Delhi Capitals,Chennai Super Kings
2023,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants
2023,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians
2023,Royal Challengers Bangalore,Gujarat Titans,Gujarat Titans
2023,Chennai Super Kings,Gujarat Titans,Chennai Super Kings
2023,Mumbai Indians,Lucknow Super Giants,Mumbai Indians
2023,Gujarat Titans,Mumbai Indians,Gujarat Titans
2024,Gujarat Titans,Chennai Super Kings,Chennai Super Kings
2024,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings
2024,Delhi Capitals,Punjab Kings,Punjab Kings
2024,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
2024,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals
2024,Gujarat Titans,Mumbai Indians,Gujarat Titans
2024,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru
2024,Chennai Super Kings,Gujarat Titans,Chennai Super Kings
2024,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad
2024,Rajasthan Royals,Delhi Capitals,Rajasthan Royals
2024,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders
2024,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants
2024,Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans
2024,Delhi Capitals,Chennai Super Kings,Delhi Capitals
2024,Mumbai Indians,Rajasthan Royals,Rajasthan Royals
2024,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants
2024,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders
2024,Gujarat Titans,Punjab Kings,Punjab Kings
2024,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
2024,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals
2024,Mumbai Indians,Delhi Capitals,Mumbai Indians
2024,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants
2024,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
2024,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad
2024,Rajasthan Royals,Gujarat Titans,Gujarat Titans
2024,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians
2024,Lucknow Super Giants,Delhi Capitals,Delhi Capitals
2024,Punjab Kings,Rajasthan Royals,Rajasthan Royals
2024,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders
2024,Chennai Super Kings,Mumbai Indians,Chennai Super Kings
2024,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad
2024,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals
2024,Gujarat Titans,Delhi Capitals,Delhi Capitals
2024,Mumbai Indians,Punjab Kings,Mumbai Indians
2024,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants
2024,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad
2024,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders
2024,Punjab Kings,Gujarat Titans,Gujarat Titans
2024,Mumbai Indians,Rajasthan Royals,Rajasthan Royals
2024,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants
2024,Delhi Capitals,Gujarat Titans,Delhi Capitals
2024,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru
2024,Kolkata Knight Riders,Punjab Kings,Punjab Kings
2024,Delhi Capitals,Mumbai Indians,Delhi Capitals
2024,Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals
2024,Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru
2024,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings
2024,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders
2024,Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants
2024,Chennai Super Kings,Punjab Kings,Punjab Kings
2024,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad
2024,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders
2024,Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru
2024,Chennai Super Kings,Punjab Kings,Chennai Super Kings
2024,Kolkata Knight Riders,Lucknow Super Giants,Kolkata Knight Riders
2024,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians
2024,Delhi Capitals,Rajasthan Royals,Delhi Capitals
2024,Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad
2024,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru
2024,Gujarat Titans,Chennai Super Kings,Gujarat Titans
2024,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders
2024,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings
2024,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru
2024,Delhi Capitals,Lucknow Super Giants,Delhi Capitals
2024,Rajasthan Royals,Punjab Kings,Punjab Kings
2024,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants
2024,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru
2024,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
2024,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
2024,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals
2024,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad
,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
